3K,Jetstar Asia
5J,Cebu Pacific Air 
AK,AirAsia
BI,Royal Brunei Airlines
BR,EVA Air
CI,China Airlines
CX, Cathay Pacific
CZ,China Southern
EK,Emirates
EY,Etihad
GA,Garuda Indonesia
ID,Batik Air
JL,Japan Airlines
JT, Lion Air 
KE,Korean Air
KL,Royal Dutch Airlines
MF,Xiamen Airlines
MH,Malaysia Airlines
MU,China Eastern 
NH,All Nippon Airways
OD,Malindo Air
OZ,Asiana Airlines
PR,Philippine Airlines
QG,Citilink
QR,Qatar Airways
QZ,Indonesia AirAsia 
SJ, Sriwijaya Air
SL,Thai Lion
SQ,Singapore Airlines
SV, Saudi Arabian Airlines
TG,Thai Airways
TR, Scoot
UL,SriLankan Airlines
VN,Vietnam Airlines
WY,Oman Air
QF,Qantas
ET,Ethiopian Airlines
HY,Uzbekistan Airways
ZH,Shenzhen Airlines
XT,AirAsia Extra
TK,Turkish Airlines
