"ID","KODE_KEMASAN","URAIAN_KEMASAN"
"1","1A","Drum, steel"
"2","1B","Drum, aluminium"
"3","1D","Drum, plywood"
"4","1G","Drum, fibre"
"5","1W","Drum, wooden"
"6","2C","Barrel, wooden"
"7","3A","Jerrican, steel"
"8","3H","Jerrican, plastic"
"9","43","Bag, super bulk"
"10","4A","Box, steel"
"11","4B","Box, aluminium"
"12","4C","Box, natural wood"
"13","4D","Box, plywood"
"14","4F","Box, reconstituted wood"
"15","4G","Box, fibreboard"
"16","4H","Box, plastic"
"17","5H","Bag, woven plastic"
"18","5L","Bag, textile"
"19","5M","Bag, paper"
"20","6H","Composite packaging, plastic receptacle"
"21","6P","Composite packaging, glass receptacle"
"22","AA","Intermediate bulk container, rigid plastic"
"23","AB","Receptacle, fibre"
"24","AC","Receptacle, paper"
"25","AD","Receptacle, wooden"
"26","AE","Aerosol"
"27","AF","Pallet, modular, collars 80cms * 60cms"
"28","AG","Pallet, shrinkwrapped"
"29","AH","Pallet, 100cms * 110cms"
"30","AI","Clamshell"
"31","AJ","Cone"
"32","AM","Ampoule, non protected"
"33","AP","Ampoule, protected"
"34","AT","Atomizer"
"35","AV","Capsule"
"36","BA","Barrel"
"37","BB","Bobbin"
"38","BC","Bottlecrate, bottlerack"
"39","BD","Board"
"40","BE","Bundle"
"41","BF","Balloon, non-protected"
"42","BG","Bag"
"43","BH","Bunch"
"44","BI","Bin"
"45","BJ","Bucket"
"46","BK","Basket"
"47","BL","Bale, compressed"
"48","BM","Basin"
"49","BN","Bale, non -compressed"
"50","BO","Bottle, non-protected, cylindrical"
"51","BP","Balloon, protected"
"52","BQ","Bottle, protected cylindrical"
"53","BR","Bar"
"54","BS","Bottle, non-protected, bulbous"
"55","BT","Bolt"
"56","BU","Butt"
"57","BV","Bottle, protected bulbous"
"58","BW","Box, for liquids"
"59","BX","Box"
"60","BY","Board, in bundle/bunch/truss"
"61","BZ","Bars, in bundle/bunch/truss"
"62","CA","Can, rectangular"
"63","CB","Beer crate"
"64","CC","Churn"
"65","CD","Can, with handle and spout"
"66","CE","Creel"
