"ID","KODE_SATUAN","URAIAN_SATUAN"
"7288","ZZ","MUTUALLY DEFINED"
"7287","ZP","PAGE"
"7286","Z8","NEWSPAGE AGATE LINE"
"7285","Z6","CONFERENCE POINT"
"7284","Z5","LUG"
"7283","Z4","HOGSHEAD"
"7282","Z3","CASK"
"7281","Z2","CHEST"
"7280","Z1","LIFT VAN"
"7279","YT","TEN YARD"
"5645","YRD","YARD (0.9144 M)"
"7278","YL","HUNDRED LINEAR YARD"
"5492","YDQ","CUBIC YARD"
"5625","YDK","SQUARE YARD"
"7277","X1","GUNTERS CHAIN"
"7276","WW","MILLILITRE OF WATER"
"5641","WTT","WATT"
"5626","WSD","STANDARD"
"7275","WR","WRAP"
"7274","WM","WORKING MONTH"
"7273","WI","WEIGHT PER SQUARE INCH"
"5642","WHR","WATT-HOUR"
"7272","WH","WHEEL"
"7271","WG","WINE GALLON"
"5644","WEE","WEEK"
"5643","WEB","WEBER"
"7270","WE","WET TON"
"5482","WCD","CORD (3,63 M3)"
"7269","WB","WET POUND"
"7268","WA","WATT PER KILOGRAM"
"7267","W4","TWO WEEK"
"7266","W2","WET KILO"
"7265","VS","VISIT"
"7264","VQ","BULK"
"7263","VP","PERCENT VOLUME"
"5640","VLT","VOLT"
"7262","VI","VIAL"
"7261","VA","VOLT - AMPERE PER KILOGRAM"
"7260","UM","MILLION UNIT"
"7259","UH","TEN THOUSAND YARD"
"7258","UF","USAGE PER TELECOMMUNICATION LINE AVERAGE"
"7257","UE","TENTH HOUR"
"7256","UD","TENTH MINUTE"
"7255","UC","TELECOMMUNICATION PORT"
"7254","UB","TELECOMMUNICATION LINE IN SERVICE AVERAGE"
"7253","UA","TORR"
"7252","U2","TABLET"
"7251","U1","TREATMENT"
"7250","TY","TANK, CYLINDRICAL"
"7249","TW","THOUSAND SHEET"
"7248","TV","THOUSAND KILOGRAM"
"7247","TU","TUBE"
"7246","TT","THOUSAND LINEAR METRE"
"5636","TSH","TON OF STEAM PER HOUR"
"5637","TSD","TONNE OF SUBTANCE 90 PER CENT DRY"
"7245","TS","THOUSAND SQUARE FOOT"
