FIN1,FAJAR INSAN NUSANTARA, ,050100
GRJT,GARUDA INDONESIA PJT, ,050100
GIP1,GEOLOGISTICS IND P, ,050100
GCL1,GUDANG CARDIC LOGISTICS INDONESIA, ,050100
LGWN,GUDANG LOGWIN AIR & OCEAN INDONESIA, ,050100
GWD1,GUDANG WAHANA DIRGANTARA, ,050100
KLA1,K LINE AIR SERVICE INDONESIA, ,050100
KNTS,KINTETSU WORLD EX. IND, ,050100
NEI1,NIPPON EXPRESS INDONESIA, ,050100
PPL1,PANAH PERDANA LOGISINDO, ,050100
PNPN,PANALPINA NUSAJAYA TRN,"Kompleks Pergudangan Soewarna Unit C3 & 5, Tangerang",050100
PRIM,PRIMA INTERNATIONAL C, ,050100
APR2,PT ANGKASA PURA II,GEDUNG 600 BANDARA SOEKARNO HASTTA,050100
APKG,PT ANGKASA PURA KARGO,GEDUNG 528 TERMINAL KARGO BANDARA SOEKARNO HATTA,050100
AVEI,PT AVATAR EXPRESS INDONESIA,AREA KARGO BANDARA INTERNATIONAL SOEKARNO HATTA,050100
BML0,PT BERDIRI MATAHARI LOGISTIK,"JL GATOT SUBROTO KAV 74-75, GRAHA MUSTIKA RATU LT 4, JAKARTA 12870",050100
CIS1,PT CARDIG INTERNASIONAL SUPPORT,"GD. MENARA CARDIG, KEBON PALA, MAKASSAR, JAKARTA",050100
DSV1,PT DSV TRANSPORT INDONESIA,"WISMA RITRA JL.WARUNG BUNCIT RAYA NO.6 LT.4, KALIBATA",050100
IBS1,PT INTI BANGUN SELARAS,GUDANG JPT 1 LT.2 ROOM D.06 AREA KARGO BANDARA SOEKARNO HATTA,050100
PGT1,PT PRIMA GLOBAL TRANS,"KOMPLEK TOHO BLOK N NO. 15 KAMAL MUARA, PENJARINGAN, JAKARTA UTARA",050100
SKKG,PT SINERGI KARYA KHARISMA,"JL. SUNGAI GERONG NO. 5, KEBON MELATI, TANAH ABANG, JAKARTA",050100
SLID,PT SINERGI LOGISTIK INDONESIA,JL BERDIKARI NO 5 A RT 002 RW 013 RAWA BADAK UTARA KOJA JAKARTA UTARA,050100
GWI1,PT. GEODIS WILSON INDONESIA,"PLAZA CITY VIEW LT. 5 JL. KEMANG TIMUR NO 22, JAKSEL",050100
AGL1,PT. AGILITY INTERNATIONAL, ,050100
BDL1,PT. BANGUN DESA LOGISTINDO,GD. GAJAH UNIT ABC LT.3 JL. DR. SAHARJO JAKSEL,050100
BGD1,PT. BANTEN GLOBAL DEVELOPMENT, ,050100
DXET,PT. DEXTER EUREKATAMA, ,050100
DTI1,PT. DFDS TRANSPORT INDONESIA,KOMPLEK PERGUDANGAN SOEWARNA UNIT A1 BANDARA SOEKARNO HATTA,050100
DGF1,PT. DHL GLOBAL FORWARDING INDONESIA,SOEWARNA BUSINESS PARK BLOK A LOT 8,050100
DHL1,PT. DHL INDONESIA, ,050100
EPI1,PT. EKSPRES PARCEL INDONESIA,"JALAN SUNTER PERMAI RAYA BLOK A1 NO 16 SUNTER AGUNG, JAKARTA UTARA",050100
EXP1,PT. EXPEDITORS INDONESIA, ,050100
FMGL,PT. FM GLOBAL LOGISTICS,"RUKAN ARTHA GADING NIAGA BLOK H NO 11, KELAPA GADING, JAKARTA UTARA",050100
GRA1,PT. GAPURA ANGKASA, ,050100
GRD1,PT. GARUDA INDONESIA, ,050100
GATR,PT. GHITA AVIA TRANS,AEROPOLIS COMMERCIAL AEROPOLIS NEGLASARI TANGERANG 15129,050100
GAP1,PT. GREEN AIR PACIFIC,JL. JEMBATAN TIGA NO.36 DB-DC PENJARINGAN,050100
JAS1,PT. JASA ANGKASA SEMESTA, ,050100
KEN1,PT. KARGO EXPRESS NUSANTARA,KOMP PERGUDANGAN CARDIG HALIM,050100
KBP1,PT. KARYA BAKTI PERSADA CARGO,"JL. Batununggal Indah I no 8 RT 8 RW 1 KeBandung Kidul, Bandung",050100
MSA1,PT. MONANG SIANIPAR ABADI,SOEWARNA BUSINESS PARK BLOK H LOT. 5,050100
NFI1,PT. NAKU FREIGHT INDONESIA,Gedung Noble House LT 17 JL IDE ANAK AGUNG KUNINGAN JAKARTA SELATAN,050100
NRG1,PT. NNR RPX GLOBAL LOGISTICS INDONESIA,Mutiara Building Lt 3 Jl Mampang Parapatan Raya no 3 Jakarta Selatan,050100
PX01,PT. PANTOS EXPRESS,"KAWASAN INDUSTRI MM2100 BLOK G-1, CIKARANG BARAT, BEKASI",050100
PRT1,PT. PERIGI RAJA TERPADU,KOMPLEK SOEWARNA BLOK H LOT 11B BANDARA SOEKARNO HATTA,050100
POS1,PT. POS INDONESIA KANTOR TUKAR SOEKARNO HATTA, ,050100
PMI1,PT. PUNINAR MSE INDONESIA,"SOEWARNA BUSINESS PARK, BLOK J LOT. 2A",050100
RCI1,PT. RITRA CARGO INDONESIA,"JL. WARUNG BUNCIT RAYA NO. 6, JAKARTA 12740",050100
TRK1,PT. TRANS KARGO INTERNASIONAL,JL. SUNGAI GERONG NO 5 KEL KEBON MELATI KEC TANAH ABANG JAKARTA,050100
UNX1,PT. UNEX INTI INDONESIA, ,050100
UCT2,PT. UNGGUL CIPTA TRANS,"KOMPLEK SOEWARNA UNIT B10, SOETTA",050100
YIF1,PT. YAMATO INDONESIA FORWARDING,Komplek Pergudangan SOEWARNA unit E6 lot 7-8 Tangerang Banten,050100
SPU1,SCHENKER PETROLOG U, ,050100
SDVL,SDV LOGISTICS INDONESIA, ,050100
SKLM,SKY LIGHT MULTITRADA, ,050100
SLI1,SPEEDMARK LOGISTIC INDONESIA,PURI SENTRA NIAGA BLOK A 20 JATIWARINGIN,050100
TBEX,TABHITA EXPRESS, ,050100
GFC1,TNS GLOBAL FREIGHT CONSOLIDATAMA, ,050100
YAS1,TNS YUSEN AIR & SEA INDONESIA, ,050100
TNTS,TNT SKYPAK INTERNATIONAL, ,050100
UCT1,UNGGUL CIPTA TRANS, ,050100
UNR1,UNIAR INDOTAMA, ,050100
UTI1,UNION TRANS INTERNUSA, ,050100
VLG1,VINFLAIR LOGISTICS INDONESIA, ,050100
WHD1,WAHANA DIRGANTARA INDONESIA, ,050100
